Time_hours,IWC_g_per_m3,Depth_m,Width_m,Effective_radius_um,Ice_mass,Ice_number,Ice_surface_area,Mean_altitude_m,Area_m2
2.6666666666666665,0.0020558148713380095,541.9606715425707,5968.5777042263835,13.551552148321454,5.222909602709331,324943193775.6746,749.8641333471503,10611.049908148143,2540554.4417090653
2.833333333333333,0.0019816732556351825,534.965808139826,6340.988810740532,13.882489465140473,5.279647674310571,313436558655.8446,759.0692717870835,10604.055044745399,2664237.2345173997
3.0,0.0019169235465480866,527.9709447370813,6713.399917254681,14.102434943211463,5.3363857459118105,301929923536.0145,754.5559051895199,10597.060181342653,2783828.1581554697
3.1666666666666665,0.001860129410034205,520.9760813343365,7085.81102376883,14.306824416496902,5.39312381751305,291722188879.42084,750.3312135732651,10590.065317939909,2899327.212623276
3.333333333333333,0.0017844349119915028,514.0657515254337,7458.2221302829785,14.472486994679182,5.373343169432404,283750017155.5886,746.8257570401147,10583.154988131006,3011229.568152493
3.5,0.0016884113974804569,507.38695598272506,7830.633236797128,14.58530098805714,5.268710524059311,275441789994.8022,736.3048803346961,10576.476192588298,3120513.4790736306
3.6666666666666665,0.0015867657662320639,500.7081604400164,8203.044343311278,14.616416356600507,5.1187324758728785,266678938003.0545,715.9250913772348,10569.797397045588,3225890.4148328253
3.833333333333333,0.0014814571771732785,494.0293648973078,8575.455449825426,14.583955376036384,4.929341909222863,257916086011.30676,689.3283475429353,10563.11860150288,3327360.375430078
4.0,0.0013850176708597624,486.9778288386545,8947.866556339575,14.607381036077982,4.739951342572847,249153234019.55905,668.0489722619185,10556.067065444226,3422303.8754664254
4.166666666666666,0.0013003944197303152,478.0475423016529,9320.277662853723,14.637079709210816,4.550560775922833,240087885781.3749,646.3625391676103,10547.136778907225,3499369.6580661726
4.333333333333333,0.0012228971142464603,469.1172557646513,9692.688769367873,14.618715289837086,4.367224095617132,230586358896.54034,619.2258570665705,10538.206492370224,3571211.3838032745
4.5,0.0011515810471578922,460.1869692276497,10065.099875882022,14.669121587541756,4.189254989864024,221080814626.41638,597.8005746595215,10529.276205833221,3637829.0526777296
4.666666666666666,0.001099099282950413,451.2552524914651,10437.51098239617,14.786881844196982,4.065800092170396,211254102191.67047,580.4374314218799,10520.344489097037,3699210.9404859184
4.833333333333333,0.0010598006589823167,442.31520471830737,10809.92208891032,14.92264005609672,3.979866450956862,201427389756.9245,563.6466206558199,10511.404441323879,3755297.203512371
5.0,0.001023062418689358,433.3751569451497,11182.33319542447,15.233160172047413,3.8939328097433275,191600677322.17853,558.6941353345516,10502.464393550721,3806153.699528747
5.166666666666666,0.0009886335005804309,424.435109171992,11554.744301938617,15.512209518927557,3.8079991685297934,183012735577.96133,553.3828453487887,10493.524345777563,3851780.428535044
5.333333333333333,0.0009675110185913391,416.4221730095974,11927.155408452767,15.780247208413494,3.7741271311814653,174937981238.68118,547.405013679587,10485.51140961517,3900862.1696902816
5.5,0.0009546560661773434,409.5834977853501,12299.566514966917,16.030087987897105,3.7771921102689685,166863226899.401,538.8023803314771,10478.672734390922,3956599.9149763873
5.666666666666666,0.0009347880093510308,402.74482256110286,12671.977621481064,16.283359168285617,3.746945513075763,158937992799.66345,529.5570866393036,10471.834059166675,4008337.158364976
5.833333333333333,0.0009085965965041636,395.9061473368556,13044.388727995214,16.55525373014614,3.6853349405785756,151037955977.14246,520.1814219378083,10464.995383942427,4056073.899856049
6.0,0.0008866447554474637,387.8525802240657,13416.799834509362,16.71565871426796,3.6237243680813878,143135596460.1628,502.56437355380416,10456.941816829638,4087008.179789661
6.166666666666666,0.000866074225961387,379.77238181093634,13789.21094102351,16.90140017378943,3.562113795584201,134616648344.14674,483.2158799156062,10448.861618416508,4112942.850400693
6.333333333333333,0.0008347885708055121,371.69218339780696,14161.62204753766,17.091472919828238,3.4511417964196185,126097700228.13063,462.87444447664694,10440.781420003379,4134150.750398403
6.5,0.000797940651545768,363.6119849846775,14534.03315405181,17.298215522540737,3.3119579064805147,117578752112.11453,442.1081384208421,10432.701221590249,4150631.8797827894
6.666666666666666,0.0007570912983579309,355.25467031123645,14906.444260565957,17.44562836381532,3.1488501423479556,109059803996.09846,417.0950171352404,10424.343906916809,4159141.901614183
6.833333333333333,0.0007141309700911141,346.3011095115791,15278.855367080107,17.57813685311574,2.967648443965012,100557928176.73718,390.4442710790774,10415.39034611715,4155608.100270987
7.0,0.0006719451466721298,337.3475487119218,15651.266473594256,17.81617390738994,2.7864467455820687,92067795426.50784,367.2262231110552,10406.436785317494,4146836.62704047
