Effective Radius [µm], Depth [m], IWC [g/m³], SW RF [W/m²]
6.143543e+00,1.201896e+02,2.048050e-03,-6.799600e+00
6.143543e+00,1.213679e+02,2.048050e-03,-6.852000e+00
6.143543e+00,1.217582e+02,2.048050e-03,-6.904600e+00
6.143543e+00,1.213679e+02,2.048050e-03,-6.852000e+00
6.143543e+00,1.201896e+02,2.048050e-03,-6.799600e+00
6.143543e+00,1.181995e+02,2.048050e-03,-6.694600e+00
6.143543e+00,1.153558e+02,2.048050e-03,-6.537100e+00
6.143543e+00,1.115932e+02,2.048050e-03,-6.379700e+00
6.143543e+00,1.068146e+02,2.048050e-03,-6.117400e+00
6.143543e+00,1.008757e+02,2.048050e-03,-5.802700e+00
6.143543e+00,9.355591e+01,2.048050e-03,-5.435500e+00
6.143543e+00,8.449700e+01,2.048050e-03,-4.911200e+00
6.143543e+00,7.305490e+01,2.048050e-03,-4.334800e+00
6.143543e+00,5.783192e+01,2.048050e-03,-3.549200e+00
6.143543e+00,3.409228e+01,2.048050e-03,-2.293900e+00
6.900059e+00,3.864687e+01,2.036191e-03,-2.228900e+00
6.900059e+00,6.555802e+01,2.036191e-03,-3.460600e+00
6.900059e+00,8.281471e+01,2.036191e-03,-4.237000e+00
6.900059e+00,9.578544e+01,2.036191e-03,-4.831000e+00
6.900059e+00,1.060546e+02,2.036191e-03,-5.288100e+00
6.900059e+00,1.143523e+02,2.036191e-03,-5.653900e+00
6.900059e+00,1.210846e+02,2.036191e-03,-5.974000e+00
6.900059e+00,1.265016e+02,2.036191e-03,-6.248500e+00
6.900059e+00,1.307669e+02,2.036191e-03,-6.431400e+00
6.900059e+00,1.339905e+02,2.036191e-03,-6.568700e+00
6.900059e+00,1.362464e+02,2.036191e-03,-6.660200e+00
6.900059e+00,1.375821e+02,2.036191e-03,-6.751700e+00
6.900059e+00,1.380245e+02,2.036191e-03,-6.751700e+00
6.900059e+00,1.375821e+02,2.036191e-03,-6.751700e+00
6.900059e+00,1.362464e+02,2.036191e-03,-6.660200e+00
6.900059e+00,1.339905e+02,2.036191e-03,-6.568700e+00
6.900059e+00,1.307669e+02,2.036191e-03,-6.431400e+00
6.900059e+00,1.265016e+02,2.036191e-03,-6.248500e+00
6.900059e+00,1.210846e+02,2.036191e-03,-5.974000e+00
6.900059e+00,1.143523e+02,2.036191e-03,-5.653900e+00
6.900059e+00,1.060546e+02,2.036191e-03,-5.288100e+00
6.900059e+00,9.578544e+01,2.036191e-03,-4.831000e+00
6.900059e+00,8.281471e+01,2.036191e-03,-4.237000e+00
6.900059e+00,6.555802e+01,2.036191e-03,-3.460600e+00
6.900059e+00,3.864687e+01,2.036191e-03,-2.228900e+00
7.668102e+00,4.364916e+01,2.024708e-03,-2.134600e+00
7.668102e+00,7.404358e+01,2.024708e-03,-3.323200e+00
7.668102e+00,9.353391e+01,2.024708e-03,-4.116400e+00
7.668102e+00,1.081835e+02,2.024708e-03,-4.672000e+00
7.668102e+00,1.197818e+02,2.024708e-03,-5.148200e+00
7.668102e+00,1.291536e+02,2.024708e-03,-5.505500e+00
7.668102e+00,1.367573e+02,2.024708e-03,-5.823200e+00
7.668102e+00,1.428754e+02,2.024708e-03,-6.061400e+00
7.668102e+00,1.476928e+02,2.024708e-03,-6.260000e+00
7.668102e+00,1.513336e+02,2.024708e-03,-6.379100e+00
7.668102e+00,1.538815e+02,2.024708e-03,-6.498300e+00
7.668102e+00,1.553902e+02,2.024708e-03,-6.538000e+00
7.668102e+00,1.558898e+02,2.024708e-03,-6.577700e+00
7.668102e+00,1.553902e+02,2.024708e-03,-6.538000e+00
7.668102e+00,1.538815e+02,2.024708e-03,-6.498300e+00
7.668102e+00,1.513336e+02,2.024708e-03,-6.379100e+00
7.668102e+00,1.476928e+02,2.024708e-03,-6.260000e+00
7.668102e+00,1.428754e+02,2.024708e-03,-6.061400e+00
7.668102e+00,1.367573e+02,2.024708e-03,-5.823200e+00
7.668102e+00,1.291536e+02,2.024708e-03,-5.505500e+00
7.668102e+00,1.197818e+02,2.024708e-03,-5.148200e+00
7.668102e+00,1.081835e+02,2.024708e-03,-4.672000e+00
7.668102e+00,9.353391e+01,2.024708e-03,-4.116400e+00
7.668102e+00,7.404358e+01,2.024708e-03,-3.323200e+00
7.668102e+00,4.364916e+01,2.024708e-03,-2.134600e+00
8.457334e+00,4.919994e+01,2.012758e-03,-2.126500e+00
8.457334e+00,8.345956e+01,2.012758e-03,-3.354700e+00
8.457334e+00,1.054284e+02,2.012758e-03,-4.150100e+00
8.457334e+00,1.219410e+02,2.012758e-03,-4.765100e+00
8.457334e+00,1.350143e+02,2.012758e-03,-5.235400e+00
8.457334e+00,1.455778e+02,2.012758e-03,-5.633500e+00
8.457334e+00,1.541484e+02,2.012758e-03,-5.923000e+00
8.457334e+00,1.610446e+02,2.012758e-03,-6.176400e+00
