Effective Radius [µm], Depth [m], IWC [g/m³], LW RF [W/m²]
9.336403e+00,5.783192e+01,8.746251e-04,1.078900e+00
8.999462e+00,3.409228e+01,6.851214e-04,5.711000e-01
1.010765e+01,3.864687e+01,6.811527e-04,5.680000e-01
1.048609e+01,6.555802e+01,8.695601e-04,1.077500e+00
9.881223e+00,8.281471e+01,1.054560e-03,1.668200e+00
9.172202e+00,9.578544e+01,1.260415e-03,2.410900e+00
8.510131e+00,1.060546e+02,1.483550e-03,3.264700e+00
7.934146e+00,1.143523e+02,1.717489e-03,4.200900e+00
7.451157e+00,1.210846e+02,1.953531e-03,5.206300e+00
7.057632e+00,1.265016e+02,2.181241e-03,6.296100e+00
6.747105e+00,1.307669e+02,2.389166e-03,7.279900e+00
6.513031e+00,1.339905e+02,2.565789e-03,8.124900e+00
6.349900e+00,1.362464e+02,2.700596e-03,8.769300e+00
6.253659e+00,1.375821e+02,2.785142e-03,9.221400e+00
6.221852e+00,1.380245e+02,2.813956e-03,9.338100e+00
6.253659e+00,1.375821e+02,2.785142e-03,9.221400e+00
6.349900e+00,1.362464e+02,2.700596e-03,8.769300e+00
6.513031e+00,1.339905e+02,2.565789e-03,8.124900e+00
6.747105e+00,1.307669e+02,2.389166e-03,7.279900e+00
7.057632e+00,1.265016e+02,2.181241e-03,6.296100e+00
7.451157e+00,1.210846e+02,1.953531e-03,5.206300e+00
7.934146e+00,1.143523e+02,1.717489e-03,4.200900e+00
8.510131e+00,1.060546e+02,1.483550e-03,3.264700e+00
9.172202e+00,9.578544e+01,1.260415e-03,2.410900e+00
9.881223e+00,8.281471e+01,1.054560e-03,1.668200e+00
1.048609e+01,6.555802e+01,8.695601e-04,1.077500e+00
1.010765e+01,3.864687e+01,6.811527e-04,5.680000e-01
1.123272e+01,4.364916e+01,6.773105e-04,5.652000e-01
1.165329e+01,7.404358e+01,8.646560e-04,1.067700e+00
1.098110e+01,9.353391e+01,1.048612e-03,1.685900e+00
1.019316e+01,1.081835e+02,1.253307e-03,2.418600e+00
9.457391e+00,1.197818e+02,1.475184e-03,3.325300e+00
8.817293e+00,1.291536e+02,1.707803e-03,4.322200e+00
8.280542e+00,1.367573e+02,1.942514e-03,5.390700e+00
7.843214e+00,1.428754e+02,2.168940e-03,6.433600e+00
7.498123e+00,1.476928e+02,2.375693e-03,7.414900e+00
7.237995e+00,1.513336e+02,2.551320e-03,8.299600e+00
7.056706e+00,1.538815e+02,2.685366e-03,9.025500e+00
6.949752e+00,1.553902e+02,2.769436e-03,9.443300e+00
6.914405e+00,1.558898e+02,2.798087e-03,9.621900e+00
6.949752e+00,1.553902e+02,2.769436e-03,9.443300e+00
7.056706e+00,1.538815e+02,2.685366e-03,9.025500e+00
7.237995e+00,1.513336e+02,2.551320e-03,8.299600e+00
7.498123e+00,1.476928e+02,2.375693e-03,7.414900e+00
7.843214e+00,1.428754e+02,2.168940e-03,6.433600e+00
8.280542e+00,1.367573e+02,1.942514e-03,5.390700e+00
8.817293e+00,1.291536e+02,1.707803e-03,4.322200e+00
9.457391e+00,1.197818e+02,1.475184e-03,3.325300e+00
1.019316e+01,1.081835e+02,1.253307e-03,2.418600e+00
1.098110e+01,9.353391e+01,1.048612e-03,1.685900e+00
1.165329e+01,7.404358e+01,8.646560e-04,1.067700e+00
1.123272e+01,4.364916e+01,6.773105e-04,5.652000e-01
1.238884e+01,4.919994e+01,6.733123e-04,5.503000e-01
1.285269e+01,8.345956e+01,8.595524e-04,1.057000e+00
1.211132e+01,1.054284e+02,1.042423e-03,1.669100e+00
1.124228e+01,1.219410e+02,1.245909e-03,2.455500e+00
1.043078e+01,1.350143e+02,1.466477e-03,3.366100e+00
9.724805e+00,1.455778e+02,1.697723e-03,4.411700e+00
9.132810e+00,1.541484e+02,1.931049e-03,5.520800e+00
8.650470e+00,1.610446e+02,2.156138e-03,6.642600e+00
