Contrail_Age_hours,EF_J_m
17.833333333333332,6103321958.318208
18.0,6141196017.677486
18.166666666666664,6178433231.083538
18.33333333333333,6215029844.1029215
18.5,6251026726.630526
18.666666666666664,6286372262.814572
18.83333333333333,6321012526.122191
19.0,6354942450.259963
19.166666666666664,6388222394.18584
19.33333333333333,6420875538.608904
19.5,6452780119.735086
19.666666666666664,6483942704.142175
19.83333333333333,6514489103.149816
20.0,6544462800.391822
20.166666666666664,6573809584.967659
20.33333333333333,6602543731.439062
20.5,6630710252.000308
20.666666666666664,6658270272.399079
20.83333333333333,6685235521.734042
21.0,6711615869.067648
21.166666666666664,6737451345.800393
21.33333333333333,6762818070.926937
21.5,6787687848.72152
21.666666666666664,6812061213.929734
21.83333333333333,6835986078.626345
22.0,6859430367.761435
22.166666666666664,6882300760.700711
22.33333333333333,6904600677.932205
22.5,6926374189.432302
22.666666666666664,6947596646.624196
22.83333333333333,6968290588.195843
23.0,6988471563.102076
23.166666666666664,7008134742.688279
23.33333333333333,7027324032.198616
23.5,7046055712.277334
23.666666666666664,7064321632.632919
23.83333333333333,7082134172.343257
24.0,7099488001.677635
24.166666666666664,7116394545.136144
24.33333333333333,7132882467.775344
24.5,7148952586.697193
24.666666666666664,7164619838.569399
24.83333333333333,7179915526.436704
25.0,7194886815.7879715
25.166666666666664,7209571549.455648
25.33333333333333,7223999499.533499
25.5,7238151343.385985
25.666666666666664,7251962670.478874
25.83333333333333,7265456354.998462
26.0,7278629965.316381
26.166666666666664,7291422869.972505
26.33333333333333,7303851920.97008
26.5,7315953798.658951
26.666666666666664,7327715943.692036
26.83333333333333,7339158152.437486
27.0,7350291719.032122
27.166666666666664,7361079076.499673
27.33333333333333,7371541664.30292
27.5,7381718149.955144
27.666666666666664,7391595449.012821
27.83333333333333,7401188814.023459
28.0,7410512574.235751
28.166666666666664,7419541622.8491335
28.33333333333333,7428295780.485261
28.5,7436803241.178836
28.666666666666664,7445059702.450365
28.83333333333333,7453067621.639617
29.0,7460819954.093357
29.166666666666664,7468306738.982456
29.33333333333333,7475546091.742282
29.5,7482545742.59899
29.666666666666664,7489311096.114074
29.83333333333333,7495844164.929218
30.0,7502126458.174178
30.166666666666664,7508156652.715694
30.33333333333333,7513962121.317853
30.5,7519553507.525884
30.666666666666664,7524925630.891422
30.83333333333333,7530093197.789094
31.0,7535057860.962677
31.166666666666664,7539812858.9608345
31.33333333333333,7544368936.657532
31.5,7548726832.0682
31.666666666666664,7552886621.335456
31.83333333333333,7556867811.998997
32.0,7560675501.164915
32.166666666666664,7564307849.640285
32.33333333333333,7567779242.293372
32.5,7571095961.887695
32.666666666666664,7574261291.522536
32.83333333333333,7577285729.250218
33.0,7580169591.329762
33.166666666666664,7582909877.164319
33.33333333333333,7585510749.133878
33.5,7587975187.284134
33.666666666666664,7590308133.725189
33.83333333333333,7592517886.660092
34.0,7594606724.87858
34.166666666666664,7596576086.893604
34.33333333333333,7598433768.1410675
34.5,7600181499.692837
34.666666666666664,7601820230.500151
