Tempearture [C],Temperature [K],IWC [g/m3]
-69.31766047,203.8323395,0.000371309
-69.2899354,203.8600646,0.000323686
-69.29258852,203.8574115,0.000248825
-69.30452754,203.8454725,0.000209264
-69.30452754,203.8454725,0.00018568
-69.30452754,203.8454725,0.000164477
-69.30452754,203.8454725,0.000145695
-69.29327075,203.8567293,7.00137E-05
-69.32028705,203.8297129,6.3194E-05
-69.23323452,203.9167655,0.001502205
-69.23098316,203.9190168,0.000863718
-69.24073905,203.909261,0.000101899
-69.25199584,203.8980042,1.8327E-05
-69.17319829,203.9768017,0.001789185
-69.19946414,203.9505359,0.001008793
-69.19946414,203.9505359,2.98668E-05
-69.14693244,204.0030676,0.003229893
-69.14693244,204.0030676,0.000683204
-69.16794512,203.9820549,5.19948E-05
-69.08246172,204.0675383,0.002570252
-69.05062432,204.0993757,0.000558551
-69.03061224,204.1193878,0.00047677
-69.02610953,204.1238905,0.000125514
-69.04186904,204.108131,9.18348E-05
-68.98933734,204.1606627,0.003967738
-68.96307149,204.1869285,0.002175962
-68.97739831,204.1726017,0.001197955
-68.98933734,204.1606627,0.000404262
-68.98933734,204.1606627,0.000350905
-68.98933734,204.1606627,0.000311358
-68.97357783,204.1764222,0.000279751
-69.00059413,204.1494059,0.000245429
-68.98933734,204.1606627,0.000216047
-68.98933734,204.1606627,0.000191376
-68.98933734,204.1606627,0.000170956
-68.98933734,204.1606627,0.000148155
-68.98933734,204.1606627,6.70239E-05
-68.98933734,204.1606627,5.76947E-05
-68.98933734,204.1606627,1.0619E-05
-68.92367271,204.2263273,0.001459472
-68.91053979,204.2394602,0.000811391
-68.92554884,204.2244512,0.000105634
-68.87114101,204.278859,0.001848742
-68.85800809,204.2919919,0.001028844
-68.94993856,204.2000614,3.00664E-05
-68.79234346,204.3576565,0.003642793
-68.81860931,204.3313907,0.000644737
-68.83174223,204.3182578,0.00450397
-68.77921053,204.3707895,0.002603273
-68.72667883,204.4233212,0.00166607
-68.76727151,204.3827285,8.04493E-05
-68.70041298,204.449587,0.00057471
-68.75294468,204.3970553,0.000491401
-68.72667883,204.4233212,0.000439704
-68.72142566,204.4285743,0.000129771
-68.70041298,204.449587,3.17019E-05
-68.64788128,204.5021187,0.002314659
-68.65313445,204.4968655,0.001245705
-68.66220811,204.4877919,0.000369278
-68.67414713,204.4758529,0.000310804
-68.67414713,204.4758529,0.000275313
-68.67414713,204.4758529,0.000243874
-68.67414713,204.4758529,0.000213854
-68.67414713,204.4758529,0.000189433
-68.67414713,204.4758529,0.000167971
-68.66101421,204.4889858,0.00015412
-68.67414713,204.4758529,6.52081E-05
-68.66539185,204.4846082,5.6821E-05
-68.67414713,204.4758529,1.91761E-05
-68.80547638,204.3445236,1.04587E-05
-68.63037072,204.5196293,0.001513529
-68.60702329,204.5429767,0.000847033
-68.62161543,204.5283846,0.000726276
-68.62161543,204.5283846,9.88853E-05
-68.62161543,204.5283846,3.76107E-05
-68.60410486,204.5458951,0.003122384
-68.62161543,204.5283846,0.001926305
-68.54281788,204.6071821,0.001054795
-68.59534958,204.5546504,0.003572701
-68.50079252,204.6492075,0.000120231
-68.46402033,204.6859797,8.41194E-05
-68.46402033,204.6859797,7.10816E-05
-68.40273334,204.7472667,0.000639552
-68.45526505,204.694735,0.000546261
-68.4167418,204.7332582,0.000428434
-68.38522278,204.7647772,0.000132182
-68.47977984,204.6702202,3.21676E-05
-68.34019561,204.8098044,0.002486132
-68.35895693,204.7910431,0.001597196
-68.34019561,204.8098044,0.000376185
-68.43775448,204.7122455,0.000346149
-68.41148863,204.7385114,0.000297965
-68.35895693,204.7910431,0.000264381
-68.35895693,204.7910431,0.000236968
-68.38522278,204.7647772,0.000192841
-68.43775448,204.7122455,0.000179482
-68.38522278,204.7647772,0.000147629
-68.35895693,204.7910431,6.57807E-05
-68.4508874,204.6991126,5.6246E-05
-68.38522278,204.7647772,1.8477E-05
-68.31518051,204.8348195,0.000919089
-68.31518051,204.8348195,0.000769002
-68.30642523,204.8435748,0.000488856
-68.41148863,204.7385114,9.95471E-05
-68.33269108,204.8173089,4.70329E-05
-68.30642523,204.8435748,3.81813E-05
-68.30642523,204.8435748,0.001108252
-68.13307061,205.0169294,0.002183103
-68.22762768,204.9223723,8.41132E-05
-68.07528574,205.0747143,0.000456362
-68.12256427,205.0274357,0.0016969
-68.07003257,205.0799674,0.000372103
-68.09104525,205.0589547,0.000249647
-68.02800721,205.1219928,0.000214142
-68.0318277,205.1181723,0.00016821
-68.04376672,205.1062333,0.000137301
-68.17509597,204.974904,6.98882E-05
-68.04376672,205.1062333,1.74763E-05
-67.99123502,205.158765,0.000968466
-68.07003257,205.0799674,0.000745983
-68.04376672,205.1062333,3.9089E-05
-67.93495106,205.2150489,0.000563484
-67.89742841,205.2525716,0.002004145
-67.88617162,205.2638284,7.909E-05
-67.7691692,205.3808308,0.00046619
-67.71982123,205.4301788,0.000634552
-67.72857652,205.4214235,0.000275231
-67.80737407,205.3426259,0.000222614
-67.75484237,205.3951576,0.000186452
-67.72857652,205.4214235,0.000156824
